on_number,hawaiian_phrase,english_phrase,meaning_phrase,headword_link,source_link
13,Ahu ka ʻalaʻala palu.,A heap of relish made of octopus liver.,Nothing worth troubling about. Octopus liver (ʻalaʻala) was not a choice food. It was mashed and used as bait.,haw-a.htm#ahu,ON-conc-a-full.htm
14,Ahu ka hoka i Kapākai.,A heap of disappointment at Kapākai.,"Fooled and left stranded. In ancient times, two fishermen sailed from Kapākai, a small canoe landing between ʻUpolu Point and the heiau of Moʻokini in Kohala. As they were about to leave for Maui, a stranger asked permission to accompany them, and it was granted. Late that night one of the fishermen signaled to the other to toss the passenger overboard because he was doing nothing to help with the canoe. The passenger guessed what they were up to and cried, “Oh! I forgot my cowry sinkers at the canoe landing.” Cowry sinkers were valuable, so they turned about and retumed to Kapākai. Upon landing, the passenger leaped ashore. When asked where the sinkers were, he pointed to two half-buried rocks nearby. The fishermen were disappointed (hoka) in not obtaining the coveted cowry sinkers. In another version the saying originated at the birth of Kamehameha I on a canoe. At the landing at Kapākai his mother pretended illness, whieh drew attention to herself and gave Naeʻole the opportunity to seize the newborn baby and flee with him into hiding.",haw-a.htm#ahu,ON-conc-a-full.htm
15,Ahu ka pala naio.,A heap of excretal residue where pinworms are found.,A rude remark. Said of something unworthy of attention or to show disbelief in a statement.,haw-a.htm#ahu,ON-conc-a-full.htm
16,Ahu kāpeku i ka nalu o Puhili.,Much thrashing about in the surf of Puhili.,Signifying an abundance of food. Thrashing about in the water drives fish into the nets.,haw-a.htm#ahu,ON-conc-a-full.htm
17,Ahu ke pilo.,A heap of stinks.,"Said of a delusion. Mānā, Kauaʻi, is a place where mirages were once seen.",haw-a.htm#ahu,ON-conc-a-full.htm
18,Ahu kupanaha ka lā i Mānā.,Peculiar is the action of the sun in Mānā.,"Said of a delusion. Mānā, Kauaʻi, is a place where mirages were once seen.",haw-a.htm#ahu,ON-conc-a-full.htm
19,Ahulau ka Piʻipiʻi i Kakanilua.,A slaughter of the Piʻipiʻi at Kakanilua.,"In the battle between Kahekili of Maui and Kalaniʻōpuʻu of Hawaiʻi, on the sand dunes of Wailuku, Maui, there was a great slaughter of Hawaiʻi warriors who were called the Piʻipiʻi. Any great slaughter might be compared to the slaughter of the Piʻipiʻi.",haw-a.htm#ahulau,ON-conc-a-full.htm
20,Ahuwale ka nane hūnā.,The hidden answer to the riddle is seen.,That which was a secret is no longer hidden.,haw-a.htm#ahuwale,ON-conc-a-full.htm
21,Ahuwale nā pae puʻu o Hāʻupukele.,The row of Hāʻupukele’s hills are in full view.,Said of anything that is exposed or very obvious.,haw-a.htm#ahuwale,ON-conc-a-full.htm
22,Ahuwale nā pali kahakai o Kamilo.,Exposed are the sea cliffs at Kamilo Beach.,Said of a woman who sits carelessly and exposes herself. Kamilo Beach is in Kaʻū.,haw-a.htm#ahuwale,ON-conc-a-full.htm
23,"Aia a kau ka iʻa i ka waʻa, manaʻo ke ola.",One can think of life after the fish is in the canoe.,Before one feels elated and makes plans he should first secure his “fish.”,haw-a.htm#a,ON-conc-a-full.htm
24,Aia akula i kula panoa wai ʻole.,"Gone to the dry, waterless plain.",Gone where one may find himself stranded or deserted.,haw-a.htm#aia,ON-conc-a-full.htm
25,Aia akula nō i Kiʻilau.,He is gone to Kiʻilau.,"Said of senseless chatter, aimless talk. A play on kiʻi (fetch) and lau (many), meaning to fetch much; that is, to fetch a lot to talk about. Kiʻilau is a place in ʻEwa, Oʻahu.",haw-a.htm#aia,ON-conc-a-full.htm
26,Aia akula paha i Kiolakaʻa.,Perhaps it is gone to Kiolakaʻa.,"Gone to the place of thrown-away things. Used when something is thrown away and later wanted. A play on kiola, to throw away. Kiolakaʻa is a place in Kaʻū.",haw-a.htm#aia,ON-conc-a-full.htm
27,Aia akula paha i Waikīkī i ka ʻimi ʻahuʻawa.,Perhaps gone to Waikīkī to seek the ʻahuʻawa sedge.,Gone where disappointment is met. A play on ahu (heap) and ʻawa (sour).,haw-a.htm#ahuawa,ON-conc-a-full.htm
28,Aia aku nei paha i Kaiholena.,Perhaps gone to Kaiholena.,Perhaps gone to loaf somewhere. A play on lena (lazy).,haw-a.htm#aia,ON-conc-a-full.htm
29,Aia anei ka maka i ke kua o ʻike ʻole iho?,Are the eyes on the back that one cannot see what is being done?,Said of one who declares that he doesn’t know how to do a certain thing and perhaps will not be able to learn.,haw-a.htm#aia,ON-conc-a-full.htm
30,Aia a ola hou ʻo Kupanea.,When Kupanea comes to life again.,"When Kupanea died, Kaona, a false prophet who lived during the reign of Kamehameha III, suggested that the family leave him unburied and that Kaona’s prayers would restore the corpse to life again. Instead Kupanea’s corpse became decomposed and had to be buried. Thus, this humorous saying — meaning never! — came into being.",haw-h.htm#hou,ON-conc-h-full.htm
31,"Aia a paʻi ʻia ka maka, haʻi ʻia kupuna nāna ʻoe.",Only when your face is slapped should you tell who your ancestors are.,"Hawaiians were taught never to boast of illustrious ancestors. But when one is slandered and called an offspring of worthless people, he should mention his ancestors to prove that the statement is wrong.",haw-h.htm#hai,ON-conc-h-full.htm
32,"Aia a pohā ka leo o ka ʻaʻo, kāpule ke momona o ka ʻuwaʻu i ka puapua.","When the ʻaʻo birds’ voices are distinctly heard, the ʻuwaʻu birds are fat even to the very tails.","The ʻao bird was not heard during the nesting season. When the fledglings emerged and their cries were heard, the season had come when young ʻuwaʻu were best for eating, and the people went to snare them.",haw-a.htm#ao,ON-conc-a-full.htm
33,Aia a wela ke poʻo o ke keiki i ka lā.,When the head of the child is warmed by the sun.,When he is old enough to toddle or creep by himself into the sunlight.,haw-k.htm#ke,ON-conc-k-full.htm
34,"Aia a wini kākala, a ʻula ka lepe o ka moa, a laila kau i ka haka.","When the spur is sharp and the comb red, then shall the cock rest on a perch.","When a boy becomes a man, then shall he take a mate.",haw-h.htm#haka,ON-conc-h-full.htm
35,Aia iā Kaʻaikiola.,Kaʻaikiola has it.,Mr. Throw-away has it. A play on the name Ka-ʻai-kiola (Throw-away-food). Said when an article is carelessly mislaid.,haw-i.htm#ia,ON-conc-i-full.htm
36,Aia i Hiʻikua; i Hiʻialo.,Is borne on the back; is borne in the arms.,"When one has gone to a far place where he cannot be seen by loved ones, he is said to be in Hiʻikua; and when one is where he can be seen daily, he is said to be in Hiʻialo. Also said of a favorite child, who is carried in the arms or on the back. Also said of the ʻaumākua.",haw-h.htm#hiialo,ON-conc-h-full.htm
37,Aia i Hilo ʻo Alanaio; aia i Puna ʻo Kapoho; aia i Laupāhoehoe ʻo Ulekiʻi.,In Hilo is Alanaio; in Puna is Kapoho; in Laupāhoehoe is Ulekii.,"A vulgar play on place names, calling attention to private parts, which are omens of disappointment when seen in dreams. An expression of contempt for one who brings bad luck. Alanaio (Way-of-the-pinworm), the anus, is in Hilo; Kapoho (The Container), the vagina, is in Puna; and Ulekiʻi (Rigid Penis) is in Laupāhoehoe.",haw-a.htm#alana,ON-conc-a-full.htm
38,"Aia i ka huki nehu, ka iʻa kaulana o ka ʻāina.","Gone to haul in the nehu, the well-known fish of the land.","Gone to get nehu for bait. Gone to get her man; that is, gone to get the bait that will get him.",haw-a.htm#aina,ON-conc-a-full.htm
39,Aia i ka huki ulua.,Gone to haul ulua fish.,Gone to get her man. The ulua fish signifies a man.,haw-h.htm#huki,ON-conc-h-full.htm
40,"Aia i ka mole kamaliʻi, ʻaʻohe i oʻo ka iwi.",Still rooted in childhood when the bones have not matured.,"Said of a person who is still a child, either physically or mentally.",haw-a.htm#aohe,ON-conc-a-full.htm
41,Aia i ka mole o Lehua.,At the taproot of Lehua.,"Said of one who is out of sight for a long time, neither seen nor heard of. Lehua is an island beyond Niʻihau.",haw-l.htm#lehua,ON-conc-l-full.htm
42,"Aia i ka ʻōpua ke ola: he ola nui, he ola laulā, he ola hohonu, he ola kiʻekiʻe.","Life is in the clouds: great life, broad life, deep life, elevated Iife.","The reader of omens knows by their shape and color whether clouds promise rain and prosperity, or warn of disaster.",haw-h.htm#he,ON-conc-h-full.htm
43,Aia i Kaʻū i Kaʻaluʻalu.,There in Kaʻū is a place named Kaʻalu alu.,"When seen from the ocean, Kaʻaluʻalu appears creased. This saying is applied jokingly to the wrinkles of a person, or to wrinkled clothing.",haw-k.htm#kaalo,ON-conc-k-full.htm
44,Aia i Keaʻā.,He is in Keaʻā.,A Kaʻū saying applied to a wilfully inattentive person who hears no more than a deaf-mute. A play on aʻā.,haw-k.htm#kea,ON-conc-k-full.htm
45,Aia i ke au a ka hewahewa.,Gone on a crazy current.,Gone on his own wandering way.,haw-a.htm#au,ON-conc-a-full.htm
46,"Aia i Kohala, i Puehuehu.","Gone to Kohala, to Puehuehu.",Nothing more is left. Used about someone who has lost everything. A play on puehu (to scatter like fine dust). Also expressed Hoʻi i Kohala i Puehuehu.,haw-k.htm#koha,ON-conc-k-full.htm
47,Aia i Kōloa.,Is at Kōloa.,A play on kō (drawn) and loa (long)— drawn a long way under. Drunk.,haw-k.htm#kolo,ON-conc-k-full.htm
48,Aia i Kona i Honalo.,"It is in Kona, in Honalo.",A play on nalo (lost). You’ve lost it and it is gone.,haw-h.htm#home,ON-conc-h-full.htm
49,Aia i kula i ka ʻalaʻalapūloa.,Gone on the plain to gather ʻalaʻalapūloa.,"Gone on a wild goose chase. A play on ʻalaʻala (octopus liver), meaning nothing worthwhile. ʻAlaʻalapūloa is another name for the weed commonly known as ʻuhaloa.",haw-a.htm#alaalapuloa,ON-conc-a-full.htm
50,Aia i luna o ʻUalakaʻa.,He is up on ʻUalakaʻa.,"A play on ʻUala-kaʻa (Rolling-potato-hill). Said of one who, like a rolling potato, has nothing to hold fast to. The hill was said to have been named for a sweet potato that broke loose from its vine on a field above and rolled down to a field below in Mānoa.",haw-l.htm#luna,ON-conc-l-full.htm
51,Aia i Pāʻula ka waha o nei kauwā; aia i Alanaio ka waha o nei kauwā; aia i Paukū-nui ka waha o nei kauā.,The mouth of this slave is at Pāʻula; the mouth of this slave is at Alanaio; the mouth of this slave is at Paukū-nui.,"An insulting saying. It began when Keawe, ruler of Hawaiʻi, went on a visit to Kauaʻi and while in a crowd of chiefs silently broke wind. None knew the source, but it was Keawe’s servant who made this insulting remark. Pāʻula (Red Dish) signifies that the rectal opening shows red; Alanaio (Way-of-the-pinworm) also refers to the anus; and Paukū-nui (Large Segments) refers to large stools. Hence, a red, worm-infested anus that produces large stools. It was not until Keawe returned to Hawaiʻi that his servant learned that his own chief had been the culprit. Pāʻula, Paukū-nui, and Alanaio are place names in Hilo.",haw-a.htm#alana,ON-conc-a-full.htm
52,Aia ka ʻike iā Polihua a lei i ka mānewanewa.,One proves a visit to Polihua by wearing a lei of mānewanewa.,"A person proves his visit to a place by bringing back something native to the area. Refers to Polihua, Lānaʻi.",haw-i.htm#ia,ON-conc-i-full.htm
53,Aia ka ʻoʻoleʻa o ka pāpaʻi i ka niho.,The strength of the crab is in the claw.,All noise but no action. Said of one who makes threats but doesn’t carry them out.,haw-n.htm#niho,ON-conc-n-full.htm
54,Aia ka puʻu nui i ke alo.,A big hill stands right before him.,He has a problem.,haw-a.htm#alo,ON-conc-a-full.htm
55,Aia ka wai i ka maka o ka ʻōpua.,Water is in the face of the ʻōpua clouds.,"In Kona, when the ʻōpua clouds appear in the morning, it’s a sign that rain is to be expected.",haw-m.htm#maka,ON-conc-m-full.htm
56,Aia kēkē nā hulu o ka umauma hoʻi ke kōlea i Kahiki e hānau ai.,When the feathers on the breast darken [because of fatness] the plover goes back to Kahiki to breed.,"A person comes here, grows prosperous, and goes away without a thought to the source of his prosperity.",haw-a.htm#ai,ON-conc-a-full.htm
57,Aia ke ola i ka hana.,Life is in labor.,Labor produces what is needed.,haw-h.htm#hana,ON-conc-h-full.htm
58,Aia ke ola i Kahiki.,Life is in Kahiki.,"Life and prosperity are in the care of the gods, and the gods are said to reside in Kahiki.",haw-k.htm#kahihi,ON-conc-k-full.htm
59,Aia ke ola i ka ihu o ka lio.,Life is where the horse’s nose points.,The scent of food leads one toward sustenance.,haw-i.htm#ihu,ON-conc-i-full.htm
60,Aia ke ola i ka waha; aia ka make i ka waha.,Life is in the mouth; death is in ihe mouth.,Spoken words can enliven; spoken words can destroy.,haw-m.htm#make,ON-conc-m-full.htm
61,Aia kinaina i Kahiki.,The snuffing out of the light is up to Kahiki.,"The ending of a human life is decided by the gods, whose dwelling is in realms far away.",haw-k.htm#kahihi,ON-conc-k-full.htm
62,"Aia ko kāne i ka lawaiʻa, hoʻi mai he ʻōpeʻa ka iʻa.",Your husband has gone fishing and returns with bats for meat.,This saying comes from a children’s chant of amusement for coaxing a sea animal to crawl from its shell.,haw-h.htm#he,ON-conc-h-full.htm
63,Aia ma kahi hāiki.,Is in a nanow place.,Said of an unborn infant. No plans are made for it until puka na maka i ke ao (the eyes are seen in the daylight).,haw-h.htm#haiki,ON-conc-h-full.htm
64,"ʻAi a manō, ʻaʻohe nānā i kumu pali.","When the shark eats, he never troubles to look toward the foot of the cliff.","Said of a person who eats voraciously with no thought of those who provided the food, shows no appreciation for what has been done for him, nor has a care for the morrow.",haw-a.htm#ai,ON-conc-a-full.htm
65,"Aia me Milu, kēlā mea i lalo lilo loa.","Is with Milu, that person away down helow.",Dead. Milu is the god of the underworld.,haw-k.htm#kela,ON-conc-k-full.htm
66,Aia me Niolopua.,Is with Niolopua.,Is fast asleep. Niolopua is the god of sleep.,haw-m.htm#me,ON-conc-m-full.htm
67,Aia nō i ka mea e mele ana.,Let the singer select the song.,Let him think for himself.,haw-a.htm#ana,ON-conc-a-full.htm
68,Aia nō i ke au a ka wāwae.,Whichever current the feet go in.,It was felt that discussing any business such as fishing or birdcatching before-hand results in failure.,haw-a.htm#au,ON-conc-a-full.htm
69,Aia nō i ke kō a ke au.,Whichever way the current goes.,Time will tell.,haw-a.htm#au,ON-conc-a-full.htm
70,"""Aia nō i ʻō,"" wahi ʻo Pahia.","“Yet to come,” says Pahia.","To be returned in kind later. Pahia, an honest, kindly native of Hilo, always noticed what was given him and always said in gratitude, “Yet to come, says Pahia,” meaning that he would respond in kind. People noticed that when he was given pork, he gave pork in return, and he served fish to those from whom he received fish. His friends and their friends learned to say, “ʻYet to come,’ says Pahia,” when they intended to return a kind favor.",haw-n.htm#no,ON-conc-n-full.htm
71,"Aia nō ka pono — o ka hoʻohuli i ka lima i lalo, ʻaʻole o ka hoʻohuli i luna.","That is what it should be — to turn the hands palms down, not palms up.","No one can work with the palms of his hands turned up. When a person is always busy, he is said to keep his palms down.",haw-a.htm#aole,ON-conc-a-full.htm
72,Aia nō ka pua i luna.,The flower is still on the tree.,A compliment to an elderly woman. Her beauty still remains.,haw-l.htm#luna,ON-conc-l-full.htm
73,Aia nō ke ea i ka puka ihu.,The breath is still in the nostrils.,A facetious reply when someone asks how a friend or relative is.,haw-e.htm#ea,ON-conc-e-full.htm
74,Aia paha iā Lima-ʻāpā.,Perhaps Touch-hand has taken it.,Somebody with very quick hands must have taken it.,haw-i.htm#ia,ON-conc-i-full.htm
75,ʻAi a puʻu ka nuku.,Eat till the lips protrude.,Eat until one can take no more.,haw-a.htm#ai,ON-conc-a-full.htm
76,"ʻAi kū, ʻai hele.","Eat standing, eat walking.","Said of anything done without ceremony, or of anything unrestrained by kapu.",haw-a.htm#ai,ON-conc-a-full.htm
77,"ʻAi kū, ʻai noa.","Eat standing, eat freely.","Said by one about to leave a religious feast, when he must depart before it is over.",haw-a.htm#ai,ON-conc-a-full.htm
78,ʻAi manu Koʻolau.,Eat of the birds of Koʻolau.,Said of a feast where delicious foods are eaten.,haw-a.htm#ai,ON-conc-a-full.htm
79,ʻĀina i ka houpo o Kāne.,Land on the bosom of Kāne.,"Puna, Hawaiʻi. It is said that before Pele migrated there from Kahiki, no place in the islands was more beautiful than Puna.",haw-a.htm#aina,ON-conc-a-full.htm
80,ʻĀina koi ʻula i ka lepo.,Land reddened by the rising dust.,"Said of ʻEwa, Oʻahu.",haw-a.htm#aina,ON-conc-a-full.htm
81,ʻAina kō kiola wale ʻia i ka nahele.,Sugar-cane trash thrown in the wilderness.,A derogatory expression applied to a person of no consequence.,haw-a.htm#aina,ON-conc-a-full.htm
82,ʻAi nō i ka ʻape he maneʻo no ko ka nuku.,He who eats ʻape is bound to have his mouth itch.,He who indulges in something harmful will surely reap the result.,haw-a.htm#ai,ON-conc-a-full.htm
83,ʻAi nō i kalo moʻa.,One can eat cooked taro.,The work is done; one can sit at ease and enjoy himself.,haw-k.htm#kalo,ON-conc-k-full.htm
84,ʻAi nō ka ʻīlio i kona luaʻi.,A dog eats his own vomit.,Said of one who says nasty things of others and then has those very things happen to himself.,haw-i.htm#ilio,ON-conc-i-full.htm
85,ʻAi nō ka ʻiole a haʻalele i kona kūkae.,"A rat eats, then leaves its droppings.",Said of an ungrateful person.,haw-h.htm#haalele,ON-conc-h-full.htm
86,ʻAi nō ke kōlea a momona hoʻi i Kahiki.,"The plover eats until fat, then returns to the land from which it came.","Said of a foreigner who comes to Hawaiʻi, makes money, and departs to his homeland to enjoy his wealth.",haw-h.htm#hoi,ON-conc-h-full.htm
87,ʻAi pilau.,Eater of filth.,Said of one who practiced the sorcery that destroyed others. His god was referred to as akua ʻai pilau (filth-eating god).,haw-p.htm#pilau,ON-conc-p-full.htm
88,ʻAi puaʻa a Kukeawe.,The pork-eating of Kukeawe.,"Said of a person who is not satisfied with the number of his own pigs and so robs his neighbors of theirs. Kukeawe was a friend of Kahekili who was allowed to help himself to any of Kahekili’s pigs in Kula, Maui. But Kukeawe also took the pigs belonging to the people of Kula, Honuaʻula, and Kahikinui and plundered their possessions. These people rose in rebellion, led by ʻOpū, and surprised the followers of Kukeawe while they were ascending Haleakalā on the way to Kula. Kukeawe’s party retreated but found their way blocked by other parties led by Kawehena, Kahoʻoluhina, and Kuheana. Kukeawe was killed and his body set up at Palauea for all to see.",haw-k.htm#kuke,ON-conc-k-full.htm
89,ʻAi pūhiʻu.,Eats while breaking wind.,Said of a bad-mannered person with no regard for ceremony.,haw-p.htm#puhiu,ON-conc-p-full.htm
90,"ʻAkahi a komo ke anu iaʻu, ua nahā ka hale e malu ai.","Cold now penetrates me, for the house that shelters is broken.",Fear enters when protection is gone. Said by ʻAikanaka of Kauaʻi when two of his war leaders were destroyed by Kawelo.,haw-a.htm#ai,ON-conc-a-full.htm
91,ʻAkahi au a ʻike i ka ʻino o Hilo.,It is the first time I have seen a Hilo storm.,For the first time I have met with evil people who wish to harm me.,haw-a.htm#akahi,ON-conc-a-full.htm
92,ʻAkahi hoʻi kuʻu ʻono i ka uhu kāʻalo i kuʻu maka.,Now I long for the uhu fish that passes before my eyes.,"How I would like that handsome fellow for a sweetheart. The uhu is a bright-colored fish, beautiful to look at, and tasty.",haw-a.htm#akahi,ON-conc-a-full.htm
93,"ʻAkahi ka hoʻi ka paoa, ke kau nei ka mākole pua heʻo.","Here is a sign of ill luck, for the red-eyed bright-hued one rests above.",Said when a rainbow appears before the path of one who was on a business journey. Such a rainbow is regarded the same as meeting a red-eyed person — a sign of bad luck. Better to turn about and go home.,haw-a.htm#akahi,ON-conc-a-full.htm
94,ʻAkahi ka neo.,Now a barrenness.,"Said by one who encounters bad luck. He makes no gain, or he loses all.",haw-a.htm#akahi,ON-conc-a-full.htm
95,Akāka wale nō ʻo Kaumaikaʻohu.,Very clearly appears Kaumaikaʻohu.,"One can very well see what the whole matter is about. Kaumaikaʻohu is a hill in Punaluʻu, Kaʻū.",haw-a.htm#akaka,ON-conc-a-full.htm
96,Akāka wale ʻo Haleakalā.,Haleakalā stands in full view.,Said of anything that is very obvious or clearly understood.,haw-a.htm#akaka,ON-conc-a-full.htm
97,"A ka lae o Kalaʻau, pau ka pono o Kakina.","After Kalaʻau Point is passed, the virtues taught by Thurston end.","So sang a girl after leaving Thurston’s missionary school. After sailing past Molokaʻi on her way home to Honolulu, she resolved to forget his teachings and have her fling. Used today to refer to anything that will not work or cannot be used.",haw-k.htm#kakia,ON-conc-k-full.htm
98,A Keaʻau holo ka ʻōlohelohe.,At Keaʻau ran the naked one.,Said of a state of destitution; to have nothing. A play on ʻau (swim) and ʻōlohelohe (naked).,haw-h.htm#holo,ON-conc-h-full.htm
99,ʻAkekeke kiʻo pahulu.,ʻAkekeke that excretes in worn-out food patches.,"An expression of contempt referring to an idle vagabond who eats and departs, thinking nothing of those who have helped him. The ʻakekeke, or ruddy turnstone, is a winter visitor to Hawaiʻi.",haw-a.htm#akea,ON-conc-a-full.htm
100,"Ako ʻē ka hale a paʻa, a i ke komo ʻana mai o ka hoʻoilo, ʻaʻole e kulu i ka ua o Hilinehu.",Thatch the house beforehand so when winter comes it will not leak in the shower of Hilinehu.,Do not procrastinate; make preparations for the future now.,haw-a.htm#ako,ON-conc-a-full.htm
101,ʻĀko Nuʻuanu i ka hālau loa a ka makani; ʻāko Mānoa i ka hale a ke ʻehu.,Gathered in Nuuanu is the longhouse of the wind; gathered in Mānoa is the house of rainy sprays.,Perhaps gone to loaf somewhere. A play on lena (lazy).,haw-a.htm#ako,ON-conc-a-full.htm
102,Akua lehe ʻoi.,Sharp-lipped goddess.,"An epithet for Pele, who devoured even the rocks and trees.",haw-a.htm#akua,ON-conc-a-full.htm
103,Akua nō hoʻi nā hana!,Such extraordinary behavior!,"Said of a person who is mean and willful, with no thought for anyone but himself. He is compared to the heroic figures of old (akua) who were born deformed and abandoned as infants, then rescued and raised to adulthood. Such persons were often belligerent by nature.",haw-a.htm#akua,ON-conc-a-full.htm
104,ʻAlaʻalawa ka maka o ka ʻaihue.,The eyes of a thief glance about.,An expression of suspicion toward a shifty-eyed person.,haw-a.htm#aihue,ON-conc-a-full.htm
105,"Alahula Puʻuloa, he alahele na Kaʻahupāhau.",Everywhere in Puʻuloa is the trail of Kaʻahupāhau.,"Said of a person who goes everywhere, looking, peering, seeing all, or of a person familiar with every nook and corner of a place. Kaʻahupāhau is the shark goddess of Puʻuloa (Pearl Harbor) who guarded the people from being molested by sharks. She moved about, constantly watching.",haw-a.htm#alahele,ON-conc-a-full.htm
106,ʻAla ke kai o kaʻanae.,Fragrant is the soup of a big mullet.,A well-to-do person is attractive because of his prosperity. A fat mullet was well liked for broth.,haw-a.htm#ala,ON-conc-a-full.htm
107,ʻAlamihi ʻai kupapaʻu.,Corpse-eating ʻalamihi.,"The ʻalamihi (mud crab) is a scavenger. In localities where they are not eaten, they are referred to contemptuously as corpse eaters.",haw-a.htm#alamihi,ON-conc-a-full.htm
108,ʻAlamihi kakani pōʻeleʻele.,Black crab that makes a noise in the dark.,An expression of annoyance toward one who disturbs the night with noise.,haw-a.htm#alamihi,ON-conc-a-full.htm
109,ʻAle mai ke aloha kau i ka maka.,Love comes like a billow and rests before the eyes.,"Said of an overwhelming love that leaves a constant yearning, with the image of one’s affections ever before one.",haw-a.htm#ale,ON-conc-a-full.htm
110,"Alia e ʻoki ka ʻāina o Kahewahewa, he ua.","Wait to cut the land of Kahewahewa, for it is raining.",Let us not rush. Said by Kaweloleimakua as he wrestled with an opponent at Waikīkī.,haw-a.htm#aina,ON-conc-a-full.htm
111,A! Like akula me ke kāmaʻa o Keawe.,Ah! Like Keawe’s sandals.,"Said of a forgetful person who looks everywhere and then finds the article at hand. Keawe and his servant once went to Kaʻū by canoe and then traveled upland from Kalae. When they came to a small stretch of lava rocks, Keawe wanted his sandals. The servant looked at his empty hands and asked the chief to wait while he ran back to see if he had dropped them along the way. The servant met some travelers and asked if they had by any chance seen the chief’s sandals. They pointed to his chest. He had tied them together with a string and was wearing them around his neck.",haw-a.htm#akula,ON-conc-a-full.htm
112,A! Loaʻa akula iā ʻoe nā niu o Kaunalewa.,Ah! Now you have the coconuts of Kaunalewa.,"Your worldly possessions are gone. An impolite saying with a play on Kau-nā-lewa (Hang-suspended), as if to say, “Now all you have is a hanging scrotum.” Kaunalewa was a famous coconut grove on Kauaʻi.",haw-a.htm#akula,ON-conc-a-full.htm
113,"Aloha mai nō, aloha aku; ʻo ka huhiā ka mea e ola ʻole ai.","When love is given, love should he returned; anger is the thing that gives no life.",Nothing can change a bad situation into a good one.,haw-a.htm#ai,ON-conc-a-full.htm
114,ʻĀluka ka ʻina i kai o Kamaʻole.,Thick with sea urchins in the sea of Kamaʻole.,"Applied to a person laden with somebody else’s work. A chief was once traveling along the beach at Kamaʻole, Kula, Maui. A woman, not recognizing him as a chief, asked him to carry her bundle of sea urchins, which he did. Other women came along and did likewise until the chief was loaded with them.",haw-a.htm#aluka,ON-conc-a-full.htm
115,Alu ka pule i Hakalau.,Concentrate your prayers on Hakalau.,"Whenever concentration and united effort are required, this saying is used. A sorcerer at Hakalau once created havoc in his own and other neighborhoods. Many attempts to counter-pray him failed until a visiting kahuna suggested that all of the others band together to concentrate on the common enemy. This time they succeeded.",haw-a.htm#alu,ON-conc-a-full.htm
116,ʻAmakihi ʻawaʻawa.,A sour ʻamakihi.,Applied to a person with a sour disposition. The ʻamakihi is a Hawaiian honeycreeper.,haw-a.htm#amakihi,ON-conc-a-full.htm
117,ʻAnihinihi ke ola.,Life is in a precarious position.,Life hangs by a thread.,haw-a.htm#anihinihi,ON-conc-a-full.htm
118,"ʻAno kaikoʻo lalo o Kealahula, ua puhia ke ʻala ma Puahinahina.","It is somewhat rough down at Kealahula, for the fragrance [of seaweed] is being wafted hither from the direction of Puahinahina.","There is a disturbance over there, and we are noticing signs of it here. The breeze carries the smell of seaweed when the water is rough.",haw-a.htm#ala,ON-conc-a-full.htm
